Model,R2_Score,RMSE,MAE,MSE
Linear Regression,0.9998673357511393,1.712069868543625,0.9800611489402681,2.931183234774986
Random Forest,0.9880833309441714,16.22639231793641,3.854232410313749,263.2958076555857
Gradient Boosting,0.9885421666394614,15.910938007918219,4.161639132254106,253.15794829181658
LSTM,-0.1390012502670288,158.68562301962015,105.0434799194336,25181.126953125
