,Open,High,Low,Close,Volume,MA_20,MA_50,RSI,Volatility
count,41038.0,41038.0,41038.0,41038.0,41038.0,41038.0,41038.0,41038.0,41038.0
mean,151.61882557352246,153.32464968482614,149.9197938681834,151.6560972071198,30608700.35779034,150.8523007722909,149.63499982275806,52.97430805895963,4.618812799546693
std,116.39004604142093,117.703387066846,115.0673449518521,116.41541433352009,78308540.14509678,115.49538044154598,114.25743620896313,17.364246354695236,5.335278786128883
min,10.958451403467238,11.721580720133083,10.80063212694806,11.214159965515137,460100.0,12.202978563308715,11.425034408569337,1.275108921945872,0.18771298568536723
25%,66.797439177797,67.44177063706064,66.09577351791668,66.75168800354004,4559877.5,66.52695217132569,65.92766565322876,40.4922193051525,1.517904261503539
50%,124.04944520893328,125.27012942998988,122.75647697208191,124.06885528564453,9544150.0,123.81447143554688,123.19423873901368,53.153984968076074,2.8477972428941625
75%,193.10951129363337,195.4560182047936,190.89906636762885,193.1397590637207,23420250.0,191.80323524475097,190.71180046081543,65.62552623676079,5.728015180997761
max,744.5499877929688,747.9000244140625,734.25,738.0900268554688,1543911000.0,704.5960906982422,653.9309887695313,100.0,82.17414182833585
