,Open,High,Low,Close,Volume,MA_20,MA_50,RSI,Volatility
count,1207.0,1207.0,1207.0,1207.0,1207.0,1207.0,1207.0,1207.0,1207.0
mean,168.57458283502268,170.45258386701758,166.85284170097478,168.74529029953646,75270600.16570008,168.07125905091445,166.90480056901757,53.10153832276917,4.958230947857652
std,35.56237220299285,35.81232521174587,35.36039054426941,35.63909824539452,33584919.10424267,35.386307020471655,35.29169017571197,17.295801286110454,2.2891889284984264
min,101.80332967507266,107.3054242127271,100.4010239357237,104.04310607910156,23234700.0,109.77989692687989,106.2995491027832,3.180122664260878,1.1135090643868912
25%,141.1126450251847,143.69860165409727,139.89054013173143,141.91786193847656,51350150.0,141.96579132080078,141.6632024383545,40.21045199261902,3.3424571613244196
50%,166.589321099478,168.0922875017565,164.76073274272346,166.51023864746094,68039400.0,165.5741844177246,163.20650329589844,53.3513195620907,4.5691462280211
75%,190.99630733340774,192.5323330690511,189.63111101412255,191.07572174072266,90371050.0,189.1815299987793,185.58539321899414,66.51756872963185,5.966263601562996
max,257.56867823862046,259.47408555117545,257.0100282923795,258.39666748046875,318679900.0,249.3834213256836,240.17086151123047,96.16305095233575,16.052056205212644
